year,region_name,forecast_model,co2e_tonnes_total_forecast
2025,South East,Naive,16892985.44137194
2026,South East,Naive,16892985.44137194
2027,South East,Naive,16892985.44137194
2028,South East,Naive,16892985.44137194
2029,South East,Naive,16892985.44137194
2030,South East,Naive,16892985.44137194
2025,East of England,Naive,12487233.548805011
2026,East of England,Naive,12487233.548805011
2027,East of England,Naive,12487233.548805011
2028,East of England,Naive,12487233.548805011
2029,East of England,Naive,12487233.548805011
2030,East of England,Naive,12487233.548805011
2025,North West,Naive,11792812.260646503
2026,North West,Naive,11792812.260646503
2027,North West,Naive,11792812.260646503
2028,North West,Naive,11792812.260646503
2029,North West,Naive,11792812.260646503
2030,North West,Naive,11792812.260646503
2025,South West,Naive,10942610.815403324
2026,South West,Naive,10942610.815403324
2027,South West,Naive,10942610.815403324
2028,South West,Naive,10942610.815403324
2029,South West,Naive,10942610.815403324
2030,South West,Naive,10942610.815403324
2025,West Midlands,Naive,10798680.772771014
2026,West Midlands,Naive,10798680.772771014
2027,West Midlands,Naive,10798680.772771014
2028,West Midlands,Naive,10798680.772771014
2029,West Midlands,Naive,10798680.772771014
2030,West Midlands,Naive,10798680.772771014
