region_name,year,co2e_tonnes_total,share_uk_2024
South East,2024,16892985.44137194,0.15639834721014167
East of England,2024,12487233.548805011,0.1156090908287391
North West,2024,11792812.260646503,0.1091800116045574
South West,2024,10942610.815403324,0.10130869120987718
West Midlands,2024,10798680.772771014,0.0999761605651488
East Midlands,2024,10013957.407825785,0.09271104820709024
Scotland,2024,9895865.909320086,0.09161773552710487
Yorkshire and the Humber,2024,9432647.281145116,0.0873291727922973
London,2024,5900241.812300356,0.05462551724717545
Wales,2024,5820192.365860618,0.05388440483920518
North East,2024,4035329.6954916455,0.03735981996866282
